sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:28:34.083 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1544,1487486139,-5.9638834,-10.718499,-7.003772,0,73.2412773585651,-37.64630075255241,-92.91059780171166
1545,1487502806,-6.229803,-9.384144,-6.314969,0,76.07632673615464,-38.112196939936524,-98.55712652901731
1546,1487519473,-7.870568,-8.959944,-5.8407574,0,78.79782042473536,-38.527964494421354,-104.30915078452607
1547,1487536140,-10.253736,-7.9449334,-5.345346,0,81.35190009218633,-38.85983705096325,-109.75465253921487
1548,1487552807,-10.707502,-6.66112,-5.5703826,0,83.61912473288358,-39.13097921575956,-114.79797925799917
1549,1487569474,-10.61947,-5.853463,-5.6988635,0,85.4887844743047,-39.357611951262705,-119.62236528245293
1550,1487586141,-10.867116,-5.4039207,-5.7305937,0,87.01392222100337,-39.59266908023971,-124.33555384505333
1551,1487602808,-12.289724,-4.4308395,-6.1697416,0,88.26779523523338,-39.84484375212724,-128.71931903367775
1552,1487619475,-12.664525,-4.0010524,-6.087155,0,89.4935557284294,-40.173335356101354,-132.58763574950046
1553,1487636142,-12.537666,-3.7455285,-6.0521526,0,90.65155201554157,-40.633939007860064,-136.04651225606278
1554,1487652809,-12.745554,-4.051744,-6.3356824,0,91.89245393683406,-41.24143481099082,-139.1295104543384
1555,1487669476,-12.511957,-3.7195604,-5.9357214,0,93.36998197880015,-41.993789312134176,-141.88797419934963
1556,1487686143,-12.686476,-2.9159505,-5.02191,0,95.06515421977707,-42.90872005087488,-144.32765941966406
1557,1487702810,-12.576064,-2.0048046,-4.1451955,0,96.92444003352585,-43.976860261302924,-146.32946861813602
1558,1487719477,-12.059632,-1.3685145,-3.4929285,0,98.83152290319387,-45.19977370754813,-147.8920480076413
1559,1487736144,-11.44406,-1.3438641,-3.060666,0,100.72560009356594,-46.574511900546156,-149.0869219734125
1560,1487752811,-10.970949,-1.4919753,-2.5853572,0,102.62437988772564,-48.13915994857005,-149.991953067786
1561,1487769478,-11.039813,-1.3166792,-2.0689178,0,104.53675609560835,-49.93279107305819,-150.53547889830853
1562,1487786145,-10.434095,-0.7996329,-1.5974073,0,106.40277544080149,-52.003824840480995,-150.55542164523482
1563,1487802812,-8.956753,-0.3166906,-1.139718,0,108.07280510022956,-54.33155069878104,-150.18920219459093
1564,1487819479,-7.7909427,-0.6394701,-0.6560602,0,109.44619682145716,-56.8126260230191,-149.57213567192431
1565,1487836146,-7.121546,-0.7529699,-0.25342178,0,110.53230818563227,-59.38580490783334,-148.644079875397
1566,1487852813,-6.8014197,-0.3728719,0.30227947,0,111.23166033287607,-62.003947429883574,-147.3738116669074
1567,1487869480,-6.4685664,-0.16920199,1.0450716,0,111.3945411575666,-64.60338367508,-145.64066641754343
1568,1487886147,-5.721851,0.02008018,1.5605545,0,110.87395727341195,-67.12270325639491,-143.33248496002733
1569,1487902814,-5.0060434,0.015924068,1.8109016,0,109.58730418954636,-69.50737085257983,-140.4534130400248
1570,1487919481,-4.400153,0.039124154,1.6295834,0,107.43052055447765,-71.74265699067548,-136.90278520979038
1571,1487936148,-3.6448421,0.23699039,1.0021544,0,104.31770794669994,-73.84843419723052,-132.61288422304608
1572,1487952815,-3.1725159,0.27327,0.39001083,0,100.08400302091452,-75.83795619270846,-127.40214901554829
1573,1487969482,-2.9670134,0.5915633,0.45480347,0,94.2598602034531,-77.71414168692205,-120.73589734720302
1574,1487986149,-2.6007419,0.78035027,0.36924934,0,86.12623665569637,-79.40925716214966,-111.88134718536855
1575,1488002816,-2.032063,0.66301346,0.18227291,0,75.14347572600053,-80.80308408322013,-100.3094412910845
1576,1488019483,-1.2952504,0.3236106,-0.045823097,0,61.337217449339924,-81.75006576074566,-86.05835827288908
1577,1488036150,-0.8956477,-0.023203159,-0.17464638,0,45.693384761441386,-82.13479819114681,-70.0281854951419
1578,1488052817,-0.89979255,0.13501523,-0.13142872,0,30.232819489795425,-81.91852881003864,-54.17375267522045
1579,1488069484,-1.2718607,0.6354804,-0.06714153,0,16.73921152583987,-81.17996058394394,-40.30985684625044
1580,1488086151,-1.3964392,0.95916295,7.343292e-05,0,5.855274069817878,-80.05877408958119,-29.172225592914206
1581,1488102818,-1.0302342,1.1681395,-0.015415192,0,-2.637341384497029,-78.74010038589292,-20.630270822022876
1582,1488119485,-0.6860422,1.1129324,-0.33949852,0,-9.550354466185793,-77.39913879084192,-13.957264210429301
1583,1488136152,-0.85936886,0.90311897,-0.42693996,0,-15.388490596235867,-76.0439578078951,-8.518458554999592
1584,1488152819,-1.1332835,0.95452815,-0.52953243,0,-20.199463902681483,-74.61825328466652,-4.064735123678751
1585,1488169486,-1.1002778,1.2021245,-0.723382,0,-24.135142262845658,-73.12308286733374,-0.39720525765067577
1586,1488186153,-1.2985014,1.1840782,-0.6788578,0,-27.314122004636662,-71.568673461011,2.593979759917726
1587,1488202820,-1.470738,0.79016536,-0.39364147,0,-29.793781187640914,-69.96740213779074,5.0040853238407115
1588,1488219487,-1.4885019,0.7534379,-0.68653774,0,-31.60237343925211,-68.35801738496787,6.9178893938095705
1589,1488236154,-1.40548,1.2401243,-0.99379444,0,-32.91060924990837,-66.79082442955162,8.455184138950852
1590,1488252821,-1.7832134,2.0513263,-1.0593958,0,-33.830548689880914,-65.27626181071349,9.661570739069795
1591,1488269488,-2.2306798,2.6654053,-1.2819815,0,-34.48095825690266,-63.81452376231802,10.592254154044179
1592,1488286155,-2.3676453,2.8946085,-1.5132732,0,-35.102717775334895,-62.44129241224102,11.380930111388047
1593,1488302822,-2.5023198,2.5467222,-1.5828056,0,-35.773121465103166,-61.17361261257747,12.07356905649973
1594,1488319489,-2.8494608,2.1738372,-1.2179337,0,-36.489208418672035,-59.9961373558516,12.694019033668019
1595,1488336156,-3.1342084,1.7954273,-0.6073847,0,-37.136777662052076,-58.87791095288674,13.215706009650432
1596,1488352823,-2.9028454,1.3997651,-0.10043812,0,-37.47868543562887,-57.77739417635058,13.54911895057809
1597,1488369490,-2.8844113,1.3993514,0.39655972,0,-37.32316158107416,-56.594160060811205,13.646199407540593
1598,1488386157,-3.134907,1.3565391,0.60814285,0,-36.71061218229217,-55.30004056546965,13.536297589240803
1599,1488402824,-3.1626816,1.5596297,0.91301537,0,-35.64039568492526,-53.88656413401962,13.20670803599193
1600,1488419491,-3.0982347,2.2591357,0.52537155,0,-34.37436801007518,-52.373737325372915,12.790207096585695
1601,1488436158,-3.0726533,2.5291755,0.18114376,0,-33.28960037757903,-50.85232968916561,12.42889130661164
1602,1488452825,-3.1505144,2.6876051,0.21387386,0,-32.53096604602198,-49.36007287967105,12.15778888019331
1603,1488469492,-2.8185973,2.432272,0.3858204,0,-32.06159858644853,-47.891859516170975,11.960642640084439
1604,1488486159,-2.2659988,1.7914559,0.27493286,0,-31.757875921930424,-46.439348568868425,11.814304766879753
