sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:26:42.845 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
160, 1353180448, 0.5638345, 0.72931826, 0.033746384, -0.38606516, -1.1517649, -0.7353058, 0.7877188, 0
161, 1353197115, 0.5726982, 0.7259152, 0.03819364, -0.37895226, -1.386435, -0.7952725, 0.61513233, 0
162, 1353213782, 0.58091575, 0.72249836, 0.040808573, -0.3726488, -1.6346725, 0.8832108, -1.3590708, 0
163, 1353230449, 0.5867377, 0.72039706, 0.042174984, -0.36740705, -0.3327755, 0.34655282, -0.15509129, 0
164, 1353247116, 0.5966611, 0.7142445, 0.045472447, -0.36301824, 0.033952303, 1.2433592, 0.24187851, 0
165, 1353263783, 0.60942924, 0.70488113, 0.051026758, -0.35935298, 0.5700005, 1.8561059, 0.16922855, 0
166, 1353280450, 0.62303907, 0.6941209, 0.057933107, -0.35589582, -0.54859537, 0.9246083, -1.3964128, 0
167, 1353297117, 0.6303153, 0.6885011, 0.06271502, -0.35317865, -1.791267, 1.5087433, -2.6446767, 0
168, 1353313784, 0.6339857, 0.6857064, 0.06595298, -0.35145196, -0.093250416, 0.80116117, 1.561986, 0
169, 1353330451, 0.64165324, 0.6791632, 0.07024223, -0.34940538, 0.33346748, -0.39225584, 2.8673143, 0
170, 1353347118, 0.65086514, 0.6707242, 0.07425144, -0.34783593, 0.1261928, 0.05836996, 0.2331562, 0
171, 1353363785, 0.6553527, 0.66672736, 0.077365704, -0.34641236, -0.92204165, 2.276326, -2.7989335, 0
172, 1353380452, 0.6553544, 0.66717684, 0.07861647, -0.34526032, 1.1810917, 0.62764406, 3.1704063, 0
173, 1353397119, 0.66308314, 0.66039973, 0.08192764, -0.34275407, 1.773663, -1.442448, 4.8077087, 0
174, 1353413786, 0.6743218, 0.6501458, 0.08609338, -0.33939373, 0.8566565, -0.5813223, -0.20709419, 0
175, 1353430453, 0.68238187, 0.6428957, 0.08941712, -0.3362209, -0.11693759, -0.69062686, -3.099904, 0
176, 1353447120, 0.68863297, 0.6372769, 0.091630764, -0.3335662, -0.8635187, -1.9002218, -2.76434, 0
177, 1353463787, 0.6952057, 0.6309588, 0.093159296, -0.3315133, -0.22767946, -1.5934699, -2.630921, 0
178, 1353480454, 0.70171213, 0.6243288, 0.095386274, -0.32971925, -0.35003918, -0.9166226, -4.599523, 0
179, 1353497121, 0.70333725, 0.6223687, 0.09713415, -0.3294522, -0.36357653, -0.077900745, -3.9585896, 0
180, 1353513788, 0.7014192, 0.62353456, 0.09659668, -0.3314882, 1.0224841, 1.4382138, -0.03613472, 0
181, 1353530455, 0.7054896, 0.6181161, 0.099624835, -0.33210117, 1.325965, 1.5812017, 1.3606424, 0
182, 1353547122, 0.7118415, 0.60988355, 0.10367943, -0.3325264, -2.1204658, 0.5027803, -0.17796326, 0
183, 1353563789, 0.71370566, 0.6066371, 0.1035125, -0.3345153, -4.6336145, 0.61820555, -4.086311, 0
184, 1353580456, 0.7083258, 0.61063087, 0.09880144, -0.34006238, -5.1761594, -1.294674, -4.4083166, 0
185, 1353597123, 0.70128554, 0.61442596, 0.0922535, -0.3495258, -4.933903, -2.0969799, -2.2092876, 0
186, 1353613790, 0.6995849, 0.6091276, 0.08988039, -0.36258203, -8.816936, -3.5097613, -3.2755642, 0
187, 1353630457, 0.69421643, 0.60451823, 0.08641192, -0.3809906, -12.959008, -1.8991051, -6.816497, 0
188, 1353647124, 0.67875755, 0.6070078, 0.07754384, -0.4059755, -13.283269, -2.0796483, -4.4887424, 0
189, 1353663791, 0.6562358, 0.61318743, 0.063671105, -0.43508795, -12.043723, -1.0489618, -1.2124205, 0
190, 1353680458, 0.62893313, 0.6195196, 0.045624036, -0.46750066, -11.314949, 0.16830571, 0.9615927, 0
191, 1353697125, 0.5940557, 0.62698925, 0.020763073, -0.5035382, -10.036518, 2.8739314, 1.679635, 0
192, 1353713792, 0.5544943, 0.6337451, -0.008103507, -0.5392933, -7.057546, 3.9289813, 3.3161077, 0
193, 1353730459, 0.51452106, 0.6378153, -0.036823247, -0.5719295, -3.852159, 4.0242453, 4.309229, 0
